バス停名,緯度,経度,バス停ID
長瀬町,33.2520,130.3020,長瀬町
駅南本町,33.26110,130.29948,駅南本町
駅南本町西,33.26098,130.30058,駅南本町西
高伝寺前,33.24907,130.29208,高伝寺前
鬼丸,33.25311,130.29513,鬼丸
龍谷学園,33.2680,130.3180,龍谷学園
佐賀駅バスセンター 4番のりば,33.26442,130.29926,佐賀駅バスセンター 4番のりば
エスプラッツ前（臨）,33.254694,130.302298,エスプラッツ前（臨）
佐賀市歴史民俗館・呉服元町（臨）,33.253604,130.305655,佐賀市歴史民俗館・呉服元町（臨）
大隈重信記念館入口（臨）,33.24826,130.30678,大隈重信記念館入口（臨）
佐賀城本丸歴史館（臨）,33.24658,130.3026,佐賀城本丸歴史館（臨）
徴古館前（臨）,33.250981,130.30148,徴古館前（臨）
バルーンミュージアム前（臨）,33.252437,130.300021,バルーンミュージアム前（臨）
玉屋前・中の小路（臨）,33.253916,130.299836,玉屋前・中の小路（臨）
唐人町（臨）(1),33.259111,130.298902,唐人町（臨）(1)
佐賀駅バスセンター 9番のりば,33.264663,130.299455,佐賀駅バスセンター 9番のりば
佐賀駅バスセンター 1番のりば,33.26451,130.29974,佐賀駅バスセンター 1番のりば
佐賀学園北(2),33.2677,130.30051,佐賀学園北(2)
夢咲公園(2),33.26845,130.30363,夢咲公園(2)
ほほえみ館前(2),33.26884,130.30504,ほほえみ館前(2)
夢咲コスモスタウン南(2),33.269448,130.30813,夢咲コスモスタウン南(2)
夢咲コスモスタウン(2),33.27144,130.30849,夢咲コスモスタウン(2)
夢咲コスモスタウン北(2),33.2734,130.308,夢咲コスモスタウン北(2)
夢咲コスモスタウン北(1),33.27335,130.30812,夢咲コスモスタウン北(1)
夢咲コスモスタウン(1),33.27088,130.30873,夢咲コスモスタウン(1)
夢咲コスモスタウン南(1),33.26914,130.30754,夢咲コスモスタウン南(1)
ほほえみ館前(1),33.26872,130.30528,ほほえみ館前(1)
夢咲公園(1),33.26836,130.30351,夢咲公園(1)
佐賀学園北(1),33.26755,130.30011,佐賀学園北(1)
佐賀清和学園前(2),33.27059,130.31064,佐賀清和学園前(2)
ぽかぽか温泉前(2),33.27265,130.31079,ぽかぽか温泉前(2)
ぽかぽか温泉前(1),33.27275,130.31064,ぽかぽか温泉前(1)
佐賀清和学園前(1),33.27034,130.3105,佐賀清和学園前(1)
佐賀駅バスセンター 3番のりば,33.26443,130.29936,佐賀駅バスセンター 3番のりば
市役所前(1),33.263755,130.300205,市役所前(1)
駅南本町(2),33.261857,130.298712,駅南本町(2)
唐人町(2),33.25875,130.299111,唐人町(2)
白山(2),33.255358,130.299751,白山(2)
中の小路(2),33.254056,130.299978,中の小路(2)
県庁前(2),33.251526,130.30029,県庁前(2)
県庁舎(2),33.2484,130.30063,県庁舎(2)
サガテレビ前(2),33.24727,130.30084,サガテレビ前(2)
堀江通(2),33.26412,130.29416,堀江通(2)
どんどんどんの森東(2),33.2628,130.2935,どんどんどんの森東(2)
どんどんどんの森前(2),33.25914,130.29182,どんどんどんの森前(2)
多布施(2),33.25898,130.29041,多布施(2)
多布施橋(2),33.25855,130.28633,多布施橋(2)
佐賀工業高校前(2),33.2579,130.28421,佐賀工業高校前(2)
中折(2),33.25735,130.2823,中折(2)
北高前(2),33.25642,130.27798,北高前(2)
新栄小前(2),33.25628,130.27544,新栄小前(2)
新栄小西(2),33.25608,130.27116,新栄小西(2)
鍋島駅南(2),33.25579,130.26526,鍋島駅南(2)
鍋島駅西(2),33.2617,130.26306,鍋島駅西(2)
江頭西(2),33.26419,130.26262,江頭西(2)
市営江頭団地前(2),33.26491,130.26099,市営江頭団地前(2)
クレオパーク鍋島北(1),33.26663,130.25948,クレオパーク鍋島北(1)
クレオパーク鍋島(1),33.26495,130.25958,クレオパーク鍋島(1)
市営江頭団地前(1),33.2650488,130.2615934,市営江頭団地前(1)
江頭西(1),33.26382,130.26279,江頭西(1)
鍋島駅西(1),33.26146,130.26323,鍋島駅西(1)
鍋島駅南(1),33.25586,130.26553,鍋島駅南(1)
新栄小西(1),33.25609,130.26994,新栄小西(1)
新栄小前(1),33.2563,130.27626,新栄小前(1)
北高前(1),33.25665,130.27917,北高前(1)
中折(1),33.25737,130.28227,中折(1)
佐賀工業高校前(1),33.25796,130.28415,佐賀工業高校前(1)
多布施橋(1),33.25856,130.28625,多布施橋(1)
多布施(1),33.25889,130.28908,多布施(1)
どんどんどんの森前(1),33.25909,130.29076,どんどんどんの森前(1)
どんどんどんの森東(1),33.26216,130.29324,どんどんどんの森東(1)
堀江通(4),33.26297,130.29329,堀江通(4)
佐賀駅北口(3),33.26462,130.295976,佐賀駅北口(3)
県庁前(1),33.251331,130.300168,県庁前(1)
中の小路(1),33.253821,130.299857,中の小路(1)
白山(1),33.254817,130.299688,白山(1)
唐人町(1),33.259143,130.298909,唐人町(1)
駅南本町(1),33.260865,130.298501,駅南本町(1)
市役所前(2),33.263645,130.300045,市役所前(2)
佐嘉神社前(2),33.251064,130.30207,佐嘉神社前(2)
佐賀女子短大・高校前,33.24626,130.28627,佐賀女子短大・高校前
旭学園通り南(1),33.24424,130.28656,旭学園通り南(1)
佐賀大学西(1),33.24448,130.28828,佐賀大学西(1)
佐賀大学前(1),33.2456,130.29308,佐賀大学前(1)
与賀町(1),33.24912,130.2925,与賀町(1)
辻の堂(1),33.250118,130.293428,辻の堂(1)
県警本部前,33.250695,130.298559,県警本部前
辻の堂(2),33.250109,130.294796,辻の堂(2)
与賀町(2),33.2481,130.29295,与賀町(2)
佐賀大学前(3),33.24476,130.29268,佐賀大学前(3)
佐賀大学西(2),33.24455,130.28891,佐賀大学西(2)
旭学園通り南(2),33.24419,130.28682,旭学園通り南(2)
サガテレビ前(1),33.24704,130.3008,サガテレビ前(1)
県庁舎(1),33.24837,130.30051,県庁舎(1)
佐賀駅バスセンター 2番のりば,33.26445,130.29951,佐賀駅バスセンター 2番のりば
藤木(2),33.27032,130.30075,藤木(2)
致遠館前(2),33.27206,130.30034,致遠館前(2)
佐賀北警察署前(2),33.27436,130.29971,佐賀北警察署前(2)
市文化会館東(2),33.27786,130.29878,市文化会館東(2)
東高木,33.28245,130.2984,東高木
寄人(2),33.28611,130.29788,寄人(2)
城北団地(2),33.28786,130.29782,城北団地(2)
グラスコート佐賀(2),33.30038,130.29715,グラスコート佐賀(2)
千布南(2),33.30606,130.29948,千布南(2)
東千布(2),33.30748,130.30051,東千布(2)
東千布(1),33.30773,130.3009,東千布(1)
千布南(1),33.30611,130.29964,千布南(1)
グラスコート佐賀(1),33.29991,130.29741,グラスコート佐賀(1)
城北団地(1),33.28812,130.29796,城北団地(1)
寄人(1),33.28542,130.29799,寄人(1)
市文化会館東(1),33.27874,130.29865,市文化会館東(1)
佐賀北警察署前(1),33.273463,130.300101,佐賀北警察署前(1)
致遠館前(1),33.27199,130.30043,致遠館前(1)
藤木(1),33.2699,130.30101,藤木(1)
金立ケアセンター前(2),33.29759,130.29738,金立ケアセンター前(2)
健康運動センター(1),33.29786,130.29366,健康運動センター(1)
金立ケアセンター前(1),33.29771,130.29739,金立ケアセンター前(1)
西田代(2),33.249142,130.287336,西田代(2)
道祖元町(2),33.2475,130.28505,道祖元町(2)
道祖元町(1),33.24747,130.28499,道祖元町(1)
西田代(1),33.24941,130.288058,西田代(1)
市役所南(2),33.262594,130.30124,市役所南(2)
戸上電機前(2),33.261911,130.303661,戸上電機前(2)
大財町(2),33.257961,130.304731,大財町(2)
サンテ溝上病院前(2),33.25698,130.30414,サンテ溝上病院前(2)
エスプラッツ前(2),33.254604,130.302427,エスプラッツ前(2)
片田江(2)[片田江東],33.251578,130.306742,片田江(2)[片田江東]
材木橋(2),33.25187,130.308666,材木橋(2)
東佐賀(2),33.25195,130.31303,東佐賀(2)
東田代(1),33.24865,130.31372,東田代(1)
今宿町(2),33.24784,130.31554,今宿町(2)
枝吉(2),33.24773,130.31902,枝吉(2)
牛島下(2),33.24994,130.32187,牛島下(2)
高尾(1),33.25331,130.32291,高尾(1)
老人センター前(2),33.25395,130.32541,老人センター前(2)
巨勢公民館前(2),33.25498,130.32817,巨勢公民館前(2)
道崎(1),33.257638,130.336628,道崎(1)
巨勢公民館前(1),33.25477,130.32823,巨勢公民館前(1)
老人センター前(1),33.25391,130.32568,老人センター前(1)
高尾(2),33.25318,130.32303,高尾(2)
牛島下(1),33.24995,130.32204,牛島下(1)
枝吉(1),33.24761,130.319,枝吉(1)
今宿町(1),33.24774,130.31575,今宿町(1)
東田代(2),33.24858,130.31358,東田代(2)
東佐賀(1),33.25187,130.31293,東佐賀(1)
材木橋(1),33.251942,130.309847,材木橋(1)
片田江(3)[片田江東],33.251478,130.306743,片田江(3)[片田江東]
佐嘉神社前(1),33.251077,130.303443,佐嘉神社前(1)
エスプラッツ前(1),33.254698,130.302336,エスプラッツ前(1)
サンテ溝上病院前(1),33.25693,130.30367,サンテ溝上病院前(1)
大財町(1),33.257996,130.304587,大財町(1)
戸上電機前(1),33.261887,130.303577,戸上電機前(1)
市役所南(1),33.262689,130.302003,市役所南(1)
佐賀駅バスセンター 7番のりば,33.26465,130.29899,佐賀駅バスセンター 7番のりば
大財五丁目(2),33.26181,130.30847,大財五丁目(2)
大財六丁目(2),33.26247,130.31151,大財六丁目(2)
下村河畔(2),33.26328,130.31578,下村河畔(2)
佐賀中部病院前(2),33.26377,130.31906,佐賀中部病院前(2)
修理田(2),33.26438,130.32227,修理田(2)
中牟田(2),33.26637,130.32748,中牟田(2)
瓦町南(2),33.2695,130.33086,瓦町南(2)
瓦町(2),33.27159,130.33316,瓦町(2)
堀立(2),33.27503,130.33688,堀立(2)
堀立東(2),33.27743,130.33842,堀立東(2)
外野,33.28102,130.33696,外野
伊賀屋橋,33.28399,130.33578,伊賀屋橋
伊賀屋(2),33.28799,130.33485,伊賀屋(2)
中野吉,33.29118,130.33501,中野吉
和泉野橋,33.29678,130.33365,和泉野橋
折地(2),33.30191,130.33145,折地(2)
下和泉(2),33.30361,130.33031,下和泉(2)
上揚,33.30836,130.32828,上揚
久保泉工業団地東(2),33.31077,130.32704,久保泉工業団地東(2)
上和泉(2),33.31633,130.32631,上和泉(2)
久保泉小学校前(2),33.32163,130.32657,久保泉小学校前(2)
川久保(2),33.32463,130.32684,川久保(2)
川久保交差点北(2),33.32628,130.32701,川久保交差点北(2)
川久保中,33.328362,130.327396,川久保中
上分公民館前,33.33195,130.32761,上分公民館前
勝宿神社,33.33578,130.32718,勝宿神社
川久保交差点北(1),33.32624,130.32716,川久保交差点北(1)
川久保(1),33.32495,130.32701,川久保(1)
久保泉小学校前(1),33.3215,130.32668,久保泉小学校前(1)
上和泉(1),33.31714,130.32651,上和泉(1)
久保泉工業団地東(1),33.31018,130.32747,久保泉工業団地東(1)
下和泉(1),33.30502,130.3298,下和泉(1)
折地(1),33.30179,130.3317,折地(1)
伊賀屋(1),33.28815,130.33488,伊賀屋(1)
堀立東(1),33.27746,130.33861,堀立東(1)
堀立(1),33.27502,130.33734,堀立(1)
瓦町(1),33.27224,130.334,瓦町(1)
瓦町南(1),33.26955,130.33107,瓦町南(1)
中牟田(1),33.26669,130.32797,中牟田(1)
修理田(1),33.26431,130.32245,修理田(1)
佐賀中部病院前(1),33.26375,130.31918,佐賀中部病院前(1)
下村河畔(1),33.26313,130.31523,下村河畔(1)
大財六丁目(1),33.26221,130.31102,大財六丁目(1)
大財五丁目(1),33.26163,130.30818,大財五丁目(1)
神野公民館前(2),33.26372,130.29018,神野公民館前(2)
昭和橋(2),33.26288,130.28442,昭和橋(2)
神野公園(2),33.2647,130.2818,神野公園(2)
八戸溝郵便局前(2),33.26477,130.27794,八戸溝郵便局前(2)
鍋島団地(2),33.266,130.27638,鍋島団地(2)
鍋島新村(2),33.26877,130.27585,鍋島新村(2)
ＪＡ佐賀市せいぶ支所前(2),33.2719,130.27539,ＪＡ佐賀市せいぶ支所前(2)
鍋島小学校前(2),33.27338,130.27078,鍋島小学校前(2)
鍋島一丁目(2),33.2757,130.2706,鍋島一丁目(2)
津留(2),33.27883,130.26991,津留(2)
医学部入口(2),33.28187,130.26909,医学部入口(2)
医学部入口(1),33.28265,130.26884,医学部入口(1)
津留(1),33.27949,130.26993,津留(1)
鍋島一丁目(1),33.2756,130.27065,鍋島一丁目(1)
鍋島小学校前(1),33.27367,130.2709,鍋島小学校前(1)
ＪＡ佐賀市せいぶ支所前(1),33.27179,130.27553,ＪＡ佐賀市せいぶ支所前(1)
鍋島新村(1),33.26885,130.27589,鍋島新村(1)
鍋島団地(1),33.26589,130.27649,鍋島団地(1)
八戸溝郵便局前(1),33.26486,130.27818,八戸溝郵便局前(1)
神野公園(1),33.26483,130.28218,神野公園(1)
昭和橋(1),33.263,130.2841,昭和橋(1)
神野公民館前(1),33.26375,130.28925,神野公民館前(1)
堀江通(3),33.26395,130.29208,堀江通(3)
鍋島シェスト前(2),33.28006,130.26875,鍋島シェスト前(2)
鍋島西団地(2),33.27979,130.2648,鍋島西団地(2)
医学部西(2),33.2834,130.26315,医学部西(2)
鍋島五丁目(2),33.28678,130.26314,鍋島五丁目(2)
鍋島本村(1),33.28828,130.26389,鍋島本村(1)
鍋島六丁目(2),33.2884,130.26564,鍋島六丁目(2)
医学部北(2),33.28627,130.26839,医学部北(2)
医学部北(1),33.28671,130.26825,医学部北(1)
鍋島六丁目(1),33.28833,130.2661,鍋島六丁目(1)
鍋島本村(2),33.28822,130.26437,鍋島本村(2)
鍋島五丁目(1),33.286594,130.263202,鍋島五丁目(1)
医学部西(1),33.28292,130.26328,医学部西(1)
鍋島西団地(1),33.27991,130.26523,鍋島西団地(1)
鍋島シェスト前(1),33.28013,130.26846,鍋島シェスト前(1)
片田江(6)[片田江西],33.251407,130.305366,片田江(6)[片田江西]
水ヶ江大通り,33.24954,130.30637,水ヶ江大通り
大隈重信記念館入口(1),33.24824,130.306808,大隈重信記念館入口(1)
竜校前(2),33.24588,130.30806,竜校前(2)
横小路(1),33.244397,130.308375,横小路(1)
大崎(1),33.24174,130.31029,大崎(1)
自動車学校前(2),33.23967,130.31569,自動車学校前(2)
南佐賀(2),33.23875,130.31766,南佐賀(2)
東高校前(2),33.23731,130.32088,東高校前(2)
博物館前(2),33.24509,130.3015,博物館前(2)
袋入口(2),33.23743,130.30188,袋入口(2)
東与賀イオン前(2),33.22169,130.3064,東与賀イオン前(2)
小々森北(2),33.19732,130.30363,小々森北(2)
佐賀駐屯地(2),33.156292,130.299443,佐賀駐屯地(2)
佐賀空港(2),33.15367,130.30376,佐賀空港(2)
佐賀駐屯地(1),33.156164,130.299446,佐賀駐屯地(1)
小々森北(1),33.19731,130.30348,小々森北(1)
東与賀イオン前(1),33.22163,130.3062,東与賀イオン前(1)
袋入口(1),33.23769,130.30173,袋入口(1)
博物館前(1),33.24504,130.30141,博物館前(1)
佐賀空港(1),33.15378,130.30281,佐賀空港(1)
佐賀中部病院西(2),33.264,130.31702,佐賀中部病院西(2)
東中野(2),33.26653,130.31575,東中野(2)
兵庫小学校西(2),33.271512,130.317634,兵庫小学校西(2)
下渕南,33.2736,130.31734,下渕南
下渕,33.27771,130.31651,下渕
妙常寺前,33.28048,130.31544,妙常寺前
うえむら病院前,33.28223,130.31462,うえむら病院前
兵庫団地前(2),33.28438,130.31471,兵庫団地前(2)
初町,33.28874,130.31458,初町
東渕,33.29063,130.31419,東渕
渕頭,33.29187,130.31374,渕頭
かささぎの里前(2),33.30112,130.31317,かささぎの里前(2)
徳永(2),33.30288,130.31419,徳永(2)
きりんむら(2),33.30484,130.315321,きりんむら(2)
白鬚神社前(2),33.30373,130.31888,白鬚神社前(2)
村徳永(2),33.30809,130.31906,村徳永(2)
工業団地事務所前(2),33.31185,130.31859,工業団地事務所前(2)
久保泉工業団地西(2),33.31261,130.31964,久保泉工業団地西(2)
久保泉工業団地西(1),33.31247,130.31967,久保泉工業団地西(1)
工業団地事務所前(1),33.3112,130.31876,工業団地事務所前(1)
村徳永(1),33.30783,130.31924,村徳永(1)
白鬚神社前(1),33.30376,130.31834,白鬚神社前(1)
きりんむら(1),33.30479,130.315401,きりんむら(1)
徳永(1),33.30281,130.31404,徳永(1)
かささぎの里前(1),33.30116,130.31329,かささぎの里前(1)
兵庫団地前(1),33.28435,130.31482,兵庫団地前(1)
兵庫小学校西(1),33.271545,130.317757,兵庫小学校西(1)
東中野(1),33.26635,130.31604,東中野(1)
佐賀中部病院西(1),33.26427,130.31714,佐賀中部病院西(1)
佐賀駅北口(2),33.26554,130.29716,佐賀駅北口(2)
九電工前(2),33.26682,130.29521,九電工前(2)
電通通り(2),33.26617,130.29106,電通通り(2)
真生幼稚園前(2),33.26627,130.28728,真生幼稚園前(2)
神野西四丁目(2),33.26844,130.28697,神野西四丁目(2)
西九大神園南(2),33.26943,130.28459,西九大神園南(2)
常盤団地入口(2),33.2689,130.28163,常盤団地入口(2)
鍋島東団地(2),33.26871,130.28021,鍋島東団地(2)
開成三丁目(2),33.26971,130.27791,開成三丁目(2)
アルタ開成店東(2),33.2716,130.27756,アルタ開成店東(2)
卸センター前(1),33.27259,130.27696,卸センター前(1)
アルタ開成店東(1),33.27168,130.27766,アルタ開成店東(1)
開成三丁目(1),33.26984,130.27797,開成三丁目(1)
鍋島東団地(1),33.26874,130.28003,鍋島東団地(1)
常盤団地入口(1),33.26897,130.281279,常盤団地入口(1)
西九大神園南(1),33.26961,130.28505,西九大神園南(1)
神野西四丁目(1),33.26825,130.28706,神野西四丁目(1)
真生幼稚園前(1),33.26582,130.28799,真生幼稚園前(1)
電通通り(1),33.26625,130.29097,電通通り(1)
九電工前(1),33.26694,130.29567,九電工前(1)
佐賀駅北口(1),33.26532,130.29736,佐賀駅北口(1)
佐賀駅バスセンター 5番のりば,33.264317,130.299013,佐賀駅バスセンター 5番のりば
長瀬町(2),33.247879,130.282472,長瀬町(2)
地蔵前(2),33.246404,130.27735,地蔵前(2)
普門寺(2),33.245706,130.274086,普門寺(2)
高橋(2),33.245314,130.272213,高橋(2)
扇町東(2),33.244579,130.268005,扇町東(2)
嘉瀬元町(1),33.243206,130.258568,嘉瀬元町(1)
十五(2),33.23542,130.25787,十五(2)
十五南(2),33.22996,130.25766,十五南(2)
嘉瀬新町(2),33.22515,130.25755,嘉瀬新町(2)
新町中央(2),33.22192,130.25749,新町中央(2)
本庄江橋(2),33.21973,130.25766,本庄江橋(2)
久保田橋(2),33.21989,130.24843,久保田橋(2)
久富(2),33.21999,130.24654,久富(2)
くぼた特産物直売所前(2),33.21982,130.24345,くぼた特産物直売所前(2)
元小路(2),33.24189,130.23767,元小路(2)
中副(2),33.23952,130.23799,中副(2)
思斉館前(2),33.23375,130.23943,思斉館前(2)
久保田支所前（1）,33.232076,130.239873,久保田支所前（1）
横江,33.22612,130.24089,横江
久富西(2),33.22044,130.24173,久富西(2)
くぼた特産物直売所前(1),33.22001,130.24435,くぼた特産物直売所前(1)
久富(1),33.22015,130.2466,久富(1)
久保田橋(1),33.21992,130.24913,久保田橋(1)
本庄江橋(1),33.21976,130.25752,本庄江橋(1)
新町中央(1),33.22211,130.25745,新町中央(1)
嘉瀬新町(1),33.22516,130.25746,嘉瀬新町(1)
十五南(1),33.23038,130.25763,十五南(1)
十五(1),33.23582,130.25787,十五(1)
嘉瀬元町(2),33.24265,130.25797,嘉瀬元町(2)
扇町東(1),33.244415,130.266433,扇町東(1)
高橋(1),33.245147,130.270842,高橋(1)
普門寺(1),33.245655,130.273292,普門寺(1)
地蔵前(1),33.246535,130.277491,地蔵前(1)
長瀬町(1),33.248191,130.283375,長瀬町(1)
医療センター好生館,33.241555,130.267985,医療センター好生館
久富西(1),33.22029,130.24165,久富西(1)
久保田支所前（2）,33.231926,130.239736,久保田支所前（2）
思斉館前(1),33.23378,130.23935,思斉館前(1)
中副(1),33.23941,130.237836,中副(1)
元小路(1),33.24169,130.23752,元小路(1)
成章中学校西(2),33.25834,130.29314,成章中学校西(2)
成章中学校西(1),33.25603,130.29285,成章中学校西(1)
どんどんどんの森東(3),33.26151,130.2939,どんどんどんの森東(3)
駅南本町西(1),33.26164,130.29707,駅南本町西(1)
駅南本町西(2),33.26157,130.29732,駅南本町西(2)
どんどんどんの森東(4),33.26138,130.29376,どんどんどんの森東(4)
護国神社前(2),33.25315,130.29355,護国神社前(2)
辻の堂(３),33.251192,130.293963,辻の堂(３)
平林胃腸科前(1),33.24385,130.27676,平林胃腸科前(1)
平松老人センター前(1),33.24168,130.27802,平松老人センター前(1)
平松交差点東(1),33.24013,130.28218,平松交差点東(1)
高伝寺前(1),33.23997,130.28476,高伝寺前(1)
佐賀大学南(1),33.23956,130.29269,佐賀大学南(1)
大井樋(1),33.23928,130.29607,大井樋(1)
鬼丸(1),33.23986,130.30209,鬼丸(1)
中の館(1),33.24218,130.302,中の館(1)
赤松小学校前(1),33.24397,130.3017,赤松小学校前(1)
赤松小学校前(2),33.24311,130.30197,赤松小学校前(2)
中の館(2),33.24207,130.30209,中の館(2)
鬼丸(2),33.24008,130.30219,鬼丸(2)
末次,33.2343,130.30161,末次
末次南(2),33.23069,130.30188,末次南(2)
満穴,33.22713,130.302088,満穴
中島,33.22463,130.30246,中島
立野北,33.22261,130.30214,立野北
立野,33.22041,130.30194,立野
西船津,33.21111,130.30115,西船津
佐房,33.20796,130.29932,佐房
新村,33.20406,130.29813,新村
久町,33.19907,130.29802,久町
広江(1),33.19752,130.29768,広江(1)
小々森(2),33.19707,130.30527,小々森(2)
南部消防署前,33.19746,130.31117,南部消防署前
小々森入口(2),33.19677,130.31479,小々森入口(2)
鹿江団地東(2),33.19364,130.31528,鹿江団地東(2)
咾分(2),33.19181,130.31648,咾分(2)
川副支所前(2),33.19159,130.31924,川副支所前(2)
犬井道(2),33.18955,130.32022,犬井道(2)
平田分(2),33.18934,130.32281,平田分(2)
和崎(1),33.19007,130.32912,和崎(1)
平田分(1),33.18931,130.32361,平田分(1)
犬井道(1),33.19018,130.31938,犬井道(1)
川副支所前(1),33.19149,130.31918,川副支所前(1)
咾分(1),33.19175,130.31609,咾分(1)
鹿江団地東(1),33.19365,130.31517,鹿江団地東(1)
小々森入口(1),33.19642,130.31476,小々森入口(1)
小々森(1),33.19682,130.30466,小々森(1)
広江(2),33.197401,130.297786,広江(2)
中島,33.224605,130.302435,中島
末次南(1),33.23127,130.30179,末次南(1)
森林公園東(2),33.242372,130.251781,森林公園東(2)
森林公園前(2),33.242569,130.249887,森林公園前(2)
嘉瀬橋(2),33.247333,130.240695,嘉瀬橋(2)
徳万(3),33.24794,130.23764,徳万(3)
徳万(4),33.2478,130.2375,徳万(4)
嘉瀬橋(1),33.247541,130.24056,嘉瀬橋(1)
森林公園前(1),33.242911,130.249199,森林公園前(1)
森林公園東(1),33.242462,130.251835,森林公園東(1)
嘉瀬元町(3),33.242856,130.256616,嘉瀬元町(3)
千々岩(2),33.23599,130.32393,千々岩(2)
光法西(2),33.23381,130.32872,光法西(2)
光法(2),33.23177,130.33336,光法(2)
山領北(2),33.23066,130.33591,山領北(2)
