"fare_id","price","currency_type","payment_method","transfers","agency_id"
"3_690","690","JPY","0","0","9300001007204"
"3_700","700","JPY","0","0","9300001007204"
"3_710","710","JPY","0","0","9300001007204"
"3_720","720","JPY","0","0","9300001007204"
"3_730","730","JPY","0","0","9300001007204"
"3_740","740","JPY","0","0","9300001007204"
"3_750","750","JPY","0","0","9300001007204"
"3_760","760","JPY","0","0","9300001007204"
"3_770","770","JPY","0","0","9300001007204"
"3_780","780","JPY","0","0","9300001007204"
"3_790","790","JPY","0","0","9300001007204"
"3_800","800","JPY","0","0","9300001007204"
"3_810","810","JPY","0","0","9300001007204"
"3_820","820","JPY","0","0","9300001007204"
"3_830","830","JPY","0","0","9300001007204"
"3_840","840","JPY","0","0","9300001007204"
"3_850","850","JPY","0","0","9300001007204"
"3_860","860","JPY","0","0","9300001007204"
"3_870","870","JPY","0","0","9300001007204"
"3_880","880","JPY","0","0","9300001007204"
"3_890","890","JPY","0","0","9300001007204"
"3_900","900","JPY","0","0","9300001007204"
"3_910","910","JPY","0","0","9300001007204"
"3_930","930","JPY","0","0","9300001007204"
"3_940","940","JPY","0","0","9300001007204"
"3_950","950","JPY","0","0","9300001007204"
"3_960","960","JPY","0","0","9300001007204"
"3_970","970","JPY","0","0","9300001007204"
"3_980","980","JPY","0","0","9300001007204"
"3_990","990","JPY","0","0","9300001007204"
"3_1000","1000","JPY","0","0","9300001007204"
"3_1010","1010","JPY","0","0","9300001007204"
"3_1020","1020","JPY","0","0","9300001007204"
"3_1030","1030","JPY","0","0","9300001007204"
"3_1040","1040","JPY","0","0","9300001007204"
"3_1050","1050","JPY","0","0","9300001007204"
"3_1060","1060","JPY","0","0","9300001007204"
"3_1070","1070","JPY","0","0","9300001007204"
"3_1100","1100","JPY","0","0","9300001007204"
"3_1110","1110","JPY","0","0","9300001007204"
"3_1130","1130","JPY","0","0","9300001007204"
"3_1150","1150","JPY","0","0","9300001007204"
"3_1200","1200","JPY","0","0","9300001007204"
"3_1250","1250","JPY","0","0","9300001007204"
"3_1460","1460","JPY","0","0","9300001007204"
"3_1520","1520","JPY","0","0","9300001007204"
"3_1780","1780","JPY","0","0","9300001007204"
"3_1830","1830","JPY","0","0","9300001007204"
"3_1940","1940","JPY","0","0","9300001007204"
"3_2040","2040","JPY","0","0","9300001007204"
"3_2090","2090","JPY","0","0","9300001007204"
"3_2200","2200","JPY","0","0","9300001007204"
"3_2300","2300","JPY","0","0","9300001007204"
"4_100","100","JPY","0","0","6300001004996"
"4_160","160","JPY","0","0","6300001004996"
"4_170","170","JPY","0","0","6300001004996"
"4_180","180","JPY","0","0","6300001004996"
"4_190","190","JPY","0","0","6300001004996"
"4_200","200","JPY","0","0","6300001004996"
"4_210","210","JPY","0","0","6300001004996"
"4_220","220","JPY","0","0","6300001004996"
"4_230","230","JPY","0","0","6300001004996"
"4_240","240","JPY","0","0","6300001004996"
"4_250","250","JPY","0","0","6300001004996"
"4_260","260","JPY","0","0","6300001004996"
"4_270","270","JPY","0","0","6300001004996"
"4_280","280","JPY","0","0","6300001004996"
"4_290","290","JPY","0","0","6300001004996"
"4_300","300","JPY","0","0","6300001004996"
"4_310","310","JPY","0","0","6300001004996"
"4_320","320","JPY","0","0","6300001004996"
"4_330","330","JPY","0","0","6300001004996"
"4_340","340","JPY","0","0","6300001004996"
"4_350","350","JPY","0","0","6300001004996"
"4_360","360","JPY","0","0","6300001004996"
"4_370","370","JPY","0","0","6300001004996"
"4_380","380","JPY","0","0","6300001004996"
"4_390","390","JPY","0","0","6300001004996"
"4_400","400","JPY","0","0","6300001004996"
"4_410","410","JPY","0","0","6300001004996"
"4_420","420","JPY","0","0","6300001004996"
"4_430","430","JPY","0","0","6300001004996"
"4_440","440","JPY","0","0","6300001004996"
"4_450","450","JPY","0","0","6300001004996"
"4_460","460","JPY","0","0","6300001004996"
"4_470","470","JPY","0","0","6300001004996"
"4_480","480","JPY","0","0","6300001004996"
"4_490","490","JPY","0","0","6300001004996"
"4_500","500","JPY","0","0","6300001004996"
"4_510","510","JPY","0","0","6300001004996"
"4_520","520","JPY","0","0","6300001004996"
"4_530","530","JPY","0","0","6300001004996"
"4_540","540","JPY","0","0","6300001004996"
"4_550","550","JPY","0","0","6300001004996"
"4_560","560","JPY","0","0","6300001004996"
"4_570","570","JPY","0","0","6300001004996"
"4_580","580","JPY","0","0","6300001004996"
"4_590","590","JPY","0","0","6300001004996"
"4_600","600","JPY","0","0","6300001004996"
"4_610","610","JPY","0","0","6300001004996"
"4_620","620","JPY","0","0","6300001004996"
"4_630","630","JPY","0","0","6300001004996"
"4_640","640","JPY","0","0","6300001004996"
"4_650","650","JPY","0","0","6300001004996"
"4_660","660","JPY","0","0","6300001004996"
"4_670","670","JPY","0","0","6300001004996"
"4_680","680","JPY","0","0","6300001004996"
"4_690","690","JPY","0","0","6300001004996"
"4_700","700","JPY","0","0","6300001004996"
"4_710","710","JPY","0","0","6300001004996"
"4_720","720","JPY","0","0","6300001004996"
"4_730","730","JPY","0","0","6300001004996"
"4_740","740","JPY","0","0","6300001004996"
"4_750","750","JPY","0","0","6300001004996"
"4_760","760","JPY","0","0","6300001004996"
"4_770","770","JPY","0","0","6300001004996"
"4_780","780","JPY","0","0","6300001004996"
"4_790","790","JPY","0","0","6300001004996"
"4_800","800","JPY","0","0","6300001004996"
"4_810","810","JPY","0","0","6300001004996"
"4_820","820","JPY","0","0","6300001004996"
"4_830","830","JPY","0","0","6300001004996"
"4_840","840","JPY","0","0","6300001004996"
"4_850","850","JPY","0","0","6300001004996"
"4_860","860","JPY","0","0","6300001004996"
"4_870","870","JPY","0","0","6300001004996"
"4_880","880","JPY","0","0","6300001004996"
"4_890","890","JPY","0","0","6300001004996"
"4_900","900","JPY","0","0","6300001004996"
"4_910","910","JPY","0","0","6300001004996"
"4_920","920","JPY","0","0","6300001004996"
"4_930","930","JPY","0","0","6300001004996"
"4_940","940","JPY","0","0","6300001004996"
"4_950","950","JPY","0","0","6300001004996"
"4_960","960","JPY","0","0","6300001004996"
"4_970","970","JPY","0","0","6300001004996"
"4_980","980","JPY","0","0","6300001004996"
"4_990","990","JPY","0","0","6300001004996"
"4_1000","1000","JPY","0","0","6300001004996"
"4_1050","1050","JPY","0","0","6300001004996"
"4_1100","1100","JPY","0","0","6300001004996"
"81_200","200","JPY","0","0","3000020412025"
"81_300","300","JPY","0","0","3000020412025"
"81_400","400","JPY","0","0","3000020412025"
"81_500","500","JPY","0","0","3000020412025"
"89_200","200","JPY","0","0","9000020412091"
"89_300","300","JPY","0","0","9000020412091"
"89_400","400","JPY","0","0","9000020412091"
