"trans_id","lang","translation"
"ぽかぽか温泉前(2)","ja","ぽかぽか温泉前(2)"
"ぽかぽか温泉前(2)","ja-Hrkt","ぽかぽかおんせんまえ"
"ぽかぽか温泉前(2)","en","Pokapokaonsen-mae(Poka-Poka Onsen)"
"ぽかぽか温泉前(2)","zh-CN","暖洋洋温泉设施前"
"ぽかぽか温泉前(2)","zh-TW","暖呼呼溫泉設施前"
"ぽかぽか温泉前(2)","ko","포카포카온천앞"
"ぽかぽか温泉前(1)","ja","ぽかぽか温泉前(1)"
"ぽかぽか温泉前(1)","ja-Hrkt","ぽかぽかおんせんまえ"
"ぽかぽか温泉前(1)","en","Pokapokaonsen-mae(Poka-Poka Onsen)"
"ぽかぽか温泉前(1)","zh-CN","暖洋洋温泉设施前"
"ぽかぽか温泉前(1)","zh-TW","暖呼呼溫泉設施前"
"ぽかぽか温泉前(1)","ko","포카포카온천앞"
"佐賀清和学園前(1)","ja","佐賀清和学園前(1)"
"佐賀清和学園前(1)","ja-Hrkt","さがせいわがくえんまえ"
"佐賀清和学園前(1)","en","Sagaseiwagakuen-mae(Saga Seiwa Gakuen )"
"佐賀清和学園前(1)","zh-CN","佐贺清和私立中学前"
"佐賀清和学園前(1)","zh-TW","佐賀清和私立中學前"
"佐賀清和学園前(1)","ko","사가세이와가쿠엔앞"
"佐賀駅バスセンター 3番のりば","ja","佐賀駅バスセンター 3番のりば"
"佐賀駅バスセンター 3番のりば","ja-Hrkt","さがえきばすせんたー"
"佐賀駅バスセンター 3番のりば","en","Saga Station Bus Terminal Gate3"
"佐賀駅バスセンター 3番のりば","zh-CN","佐贺站巴士中心 第3站台"
"佐賀駅バスセンター 3番のりば","zh-TW","佐賀站巴士中心 第3站台"
"佐賀駅バスセンター 3番のりば","ko","사가역버스센터 3번 승차장"
"市役所前(1)","ja","市役所前(1)"
"市役所前(1)","ja-Hrkt","しやくしょまえ"
"市役所前(1)","en","Shiyakusho-mae(City Hall )"
"市役所前(1)","zh-CN","市政厅前"
"市役所前(1)","zh-TW","市公所前"
"市役所前(1)","ko","시청앞"
"駅南本町(2)","ja","駅南本町(2)"
"駅南本町(2)","ja-Hrkt","えきみなみほんまち"
"駅南本町(2)","en","Ekiminamihonmachi"
"駅南本町(2)","zh-CN","站南本町"
"駅南本町(2)","zh-TW","站南本町"
"駅南本町(2)","ko","에키미나미혼마치"
"唐人町(2)","ja","唐人町(2)"
"唐人町(2)","ja-Hrkt","とうじんまち"
"唐人町(2)","en","Tojimmachi(Tōjin machi)"
"唐人町(2)","zh-CN","唐人町"
"唐人町(2)","zh-TW","唐人町"
"唐人町(2)","ko","도진마치"
"白山(2)","ja","白山(2)"
"白山(2)","ja-Hrkt","しらやま"
"白山(2)","en","Shirayama"
"白山(2)","zh-CN","白山"
"白山(2)","zh-TW","白山"
"白山(2)","ko","시라야마"
"中の小路(2)","ja","中の小路(2)"
"中の小路(2)","ja-Hrkt","なかのこうじ"
"中の小路(2)","en","Nakanokoji"
"中の小路(2)","zh-CN","中之小路"
"中の小路(2)","zh-TW","中之小路"
"中の小路(2)","ko","나카노코지"
"県庁前(2)","ja","県庁前(2)"
"県庁前(2)","ja-Hrkt","けんちょうまえ"
"県庁前(2)","en","Prefectural Office "
"県庁前(2)","zh-CN","县政府前"
"県庁前(2)","zh-TW","縣政府前"
"県庁前(2)","ko","현청앞"
"県庁舎(2)","ja","県庁舎(2)"
"県庁舎(2)","ja-Hrkt","けんちょうしゃ"
"県庁舎(2)","en","Kenchosha(Prefectural Office Building)"
"県庁舎(2)","zh-CN","县政府办公大楼"
"県庁舎(2)","zh-TW","縣政府辦公大樓"
"県庁舎(2)","ko","현청사"
"サガテレビ前(2)","ja","サガテレビ前(2)"
"サガテレビ前(2)","ja-Hrkt","さがてれびまえ"
"サガテレビ前(2)","en","Sagaterebi-mae(Saga TV Station )"
"サガテレビ前(2)","zh-CN","佐贺电视台前"
"サガテレビ前(2)","zh-TW","佐賀電視台前"
"サガテレビ前(2)","ko","사가텔레비전앞"
"佐賀城跡","ja","佐賀城跡"
"佐賀城跡","ja-Hrkt","さがじょうあと"
"佐賀城跡","en","Sagajoato(Saga Castle Ruins)"
"佐賀城跡","zh-CN","佐贺城遗址"
"佐賀城跡","zh-TW","佐賀城遺址"
"佐賀城跡","ko","사가성터"
"佐賀駅バスセンター 4番のりば","ja","佐賀駅バスセンター 4番のりば"
"佐賀駅バスセンター 4番のりば","ja-Hrkt","さがえきばすせんたー"
"佐賀駅バスセンター 4番のりば","en","Saga Station Bus Terminal Gate4"
"佐賀駅バスセンター 4番のりば","zh-CN","佐贺站巴士中心 第4站台"
"佐賀駅バスセンター 4番のりば","zh-TW","佐賀站巴士中心 第4站台"
"佐賀駅バスセンター 4番のりば","ko","사가역버스센터 4번 승차장"
"堀江通(2)","ja","堀江通(2)"
"堀江通(2)","ja-Hrkt","ほりえどおり"
"堀江通(2)","en","Horiedori(Horie Street)"
"堀江通(2)","zh-CN","堀江路"
"堀江通(2)","zh-TW","堀江路"
"堀江通(2)","ko","호리에도리"
"どんどんどんの森東(2)","ja","どんどんどんの森東(2)"
"どんどんどんの森東(2)","ja-Hrkt","どんどんどんのもりひがし"
"どんどんどんの森東(2)","en","Dondondonnomori-higashi(Don-Don-Don no Mori East)"
"どんどんどんの森東(2)","zh-CN","咚咚咚之森东"
"どんどんどんの森東(2)","zh-TW","咚咚咚之森東"
"どんどんどんの森東(2)","ko","돈돈돈노모리동쪽"
"どんどんどんの森前(2)","ja","どんどんどんの森前(2)"
"どんどんどんの森前(2)","ja-Hrkt","どんどんどんのもりまえ"
"どんどんどんの森前(2)","en","Dondondonnomori-mae(Don-Don-Don no Mori )"
"どんどんどんの森前(2)","zh-CN","咚咚咚之森前"
"どんどんどんの森前(2)","zh-TW","咚咚咚之森前"
"どんどんどんの森前(2)","ko","돈돈돈노모리앞"
"多布施(2)","ja","多布施(2)"
"多布施(2)","ja-Hrkt","たふせ"
"多布施(2)","en","Tafuse"
"多布施(2)","zh-CN","多布施"
"多布施(2)","zh-TW","多布施"
"多布施(2)","ko","다후세"
"多布施橋(2)","ja","多布施橋(2)"
"多布施橋(2)","ja-Hrkt","たふせばし"
"多布施橋(2)","en","Tafusebashi(Tafuse Bridge)"
"多布施橋(2)","zh-CN","多布施桥"
"多布施橋(2)","zh-TW","多布施橋"
"多布施橋(2)","ko","다후세바시"
"佐賀工業高校前(2)","ja","佐賀工業高校前(2)"
"佐賀工業高校前(2)","ja-Hrkt","さがこうぎょうこうこうまえ"
"佐賀工業高校前(2)","en","Sagakogyokokomae(Saga Kōgyo High School )"
"佐賀工業高校前(2)","zh-CN","佐贺技工学校前"
"佐賀工業高校前(2)","zh-TW","佐賀工業高中前"
"佐賀工業高校前(2)","ko","사가공업고교앞"
"中折(2)","ja","中折(2)"
"中折(2)","ja-Hrkt","なかおれ"
"中折(2)","en","Nakaore"
"中折(2)","zh-CN","中折"
"中折(2)","zh-TW","中折"
"中折(2)","ko","나카오레"
"北高前(2)","ja","北高前(2)"
"北高前(2)","ja-Hrkt","きたこうまえ"
"北高前(2)","en","Kitako-mae(Sagakita High School)"
"北高前(2)","zh-CN","佐贺县立佐贺北高中前"
"北高前(2)","zh-TW","佐賀縣立佐賀北高中前"
"北高前(2)","ko","기타고교앞"
"新栄小前(2)","ja","新栄小前(2)"
"新栄小前(2)","ja-Hrkt","しんえいしょうまえ"
"新栄小前(2)","en","Shineisho-mae(Shinei  Elementary School )"
"新栄小前(2)","zh-CN","新荣小学前"
"新栄小前(2)","zh-TW","新榮小學前"
"新栄小前(2)","ko","신에이초교앞"
"新栄小西(2)","ja","新栄小西(2)"
"新栄小西(2)","ja-Hrkt","しんえいしょうにし"
"新栄小西(2)","en","Shineishonishi(Shinei  Elementary School West)"
"新栄小西(2)","zh-CN","新荣小学西"
"新栄小西(2)","zh-TW","新榮小學西"
"新栄小西(2)","ko","신에이초교서쪽"
"鍋島駅南(2)","ja","鍋島駅南(2)"
"鍋島駅南(2)","ja-Hrkt","なべしまえきみなみ"
"鍋島駅南(2)","en","Nabeshimaekiminami(Nabeshima Station South)"
"鍋島駅南(2)","zh-CN","锅岛站南"
"鍋島駅南(2)","zh-TW","鍋島站南"
"鍋島駅南(2)","ko","나베시마역남쪽"
"鍋島駅西(2)","ja","鍋島駅西(2)"
"鍋島駅西(2)","ja-Hrkt","なべしまえきにし"
"鍋島駅西(2)","en","Nabeshimaekinishi(Nabeshima Station West)"
"鍋島駅西(2)","zh-CN","锅岛站西"
"鍋島駅西(2)","zh-TW","鍋島站西"
"鍋島駅西(2)","ko","나베시마역서쪽"
"江頭西(2)","ja","江頭西(2)"
"江頭西(2)","ja-Hrkt","えがしらにし"
"江頭西(2)","en","Egashiranishi(Egashira West)"
"江頭西(2)","zh-CN","江头西"
"江頭西(2)","zh-TW","江頭西"
"江頭西(2)","ko","에가시라니시"
"市営江頭団地前(2)","ja","市営江頭団地前(2)"
"市営江頭団地前(2)","ja-Hrkt","しえいえがしらだんちまえ"
"市営江頭団地前(2)","en","Shieiegashiradanchi-mae(Egashira Danchi-mae)"
"市営江頭団地前(2)","zh-CN","市营江头住宅小区前"
"市営江頭団地前(2)","zh-TW","市營江頭住宅區前"
"市営江頭団地前(2)","ko","시영에가시라단지앞"
"クレオパーク鍋島北(1)","ja","クレオパーク鍋島北(1)"
"クレオパーク鍋島北(1)","ja-Hrkt","くれおぱーくなべしまきた"
"クレオパーク鍋島北(1)","en","Kureopakunabeshimakita(Creo Park Nabeshima North)"
"クレオパーク鍋島北(1)","zh-CN","锅岛CREO娱乐场北"
"クレオパーク鍋島北(1)","zh-TW","鍋島CREO娛樂場北"
"クレオパーク鍋島北(1)","ko","클레오파크나베시마북쪽"
"クレオパーク鍋島(1)","ja","クレオパーク鍋島(1)"
"クレオパーク鍋島(1)","ja-Hrkt","くれおぱーくなべしま"
"クレオパーク鍋島(1)","en","Kureopakunabeshima(Creo Park Nabeshima)"
"クレオパーク鍋島(1)","zh-CN","锅岛CREO娱乐场"
"クレオパーク鍋島(1)","zh-TW","鍋島CREO娛樂場"
"クレオパーク鍋島(1)","ko","클레오파크나베시마"
"市営江頭団地前(1)","ja","市営江頭団地前(1)"
"市営江頭団地前(1)","ja-Hrkt","しえいえがしらだんちまえ"
"市営江頭団地前(1)","en","Shieiegashiradanchi-mae(Egashira Danchi-mae)"
"市営江頭団地前(1)","zh-CN","市营江头住宅小区前"
"市営江頭団地前(1)","zh-TW","市營江頭住宅區前"
"市営江頭団地前(1)","ko","시영에가시라단지앞"
"江頭西(1)","ja","江頭西(1)"
"江頭西(1)","ja-Hrkt","えがしらにし"
"江頭西(1)","en","Egashiranishi(Egashira West)"
"江頭西(1)","zh-CN","江头西"
"江頭西(1)","zh-TW","江頭西"
"江頭西(1)","ko","에가시라니시"
"鍋島駅西(1)","ja","鍋島駅西(1)"
"鍋島駅西(1)","ja-Hrkt","なべしまえきにし"
"鍋島駅西(1)","en","Nabeshimaekinishi(Nabeshima Station West)"
"鍋島駅西(1)","zh-CN","锅岛站西"
"鍋島駅西(1)","zh-TW","鍋島站西"
"鍋島駅西(1)","ko","나베시마역서쪽"
"鍋島駅南(1)","ja","鍋島駅南(1)"
"鍋島駅南(1)","ja-Hrkt","なべしまえきみなみ"
"鍋島駅南(1)","en","Nabeshimaekiminami(Nabeshima Station South)"
"鍋島駅南(1)","zh-CN","锅岛站南"
"鍋島駅南(1)","zh-TW","鍋島站南"
"鍋島駅南(1)","ko","나베시마역남쪽"
"新栄小西(1)","ja","新栄小西(1)"
"新栄小西(1)","ja-Hrkt","しんえいしょうにし"
"新栄小西(1)","en","Shineishonishi(Shinei  Elementary School West)"
"新栄小西(1)","zh-CN","新荣小学西"
"新栄小西(1)","zh-TW","新榮小學西"
"新栄小西(1)","ko","신에이초교서쪽"
"新栄小前(1)","ja","新栄小前(1)"
"新栄小前(1)","ja-Hrkt","しんえいしょうまえ"
"新栄小前(1)","en","Shineisho-mae(Shinei  Elementary School )"
"新栄小前(1)","zh-CN","新荣小学前"
"新栄小前(1)","zh-TW","新榮小學前"
"新栄小前(1)","ko","신에이초교앞"
"北高前(1)","ja","北高前(1)"
"北高前(1)","ja-Hrkt","きたこうまえ"
"北高前(1)","en","Kitako-mae(Sagakita High School)"
"北高前(1)","zh-CN","佐贺县立佐贺北高中前"
"北高前(1)","zh-TW","佐賀縣立佐賀北高中前"
"北高前(1)","ko","기타고교앞"
"中折(1)","ja","中折(1)"
"中折(1)","ja-Hrkt","なかおれ"
"中折(1)","en","Nakaore"
"中折(1)","zh-CN","中折"
"中折(1)","zh-TW","中折"
"中折(1)","ko","나카오레"
"佐賀工業高校前(1)","ja","佐賀工業高校前(1)"
"佐賀工業高校前(1)","ja-Hrkt","さがこうぎょうこうこうまえ"
"佐賀工業高校前(1)","en","Sagakogyokokomae(Saga Kōgyo High School )"
"佐賀工業高校前(1)","zh-CN","佐贺技工学校前"
"佐賀工業高校前(1)","zh-TW","佐賀工業高中前"
"佐賀工業高校前(1)","ko","사가공업고교앞"
"多布施橋(1)","ja","多布施橋(1)"
"多布施橋(1)","ja-Hrkt","たふせばし"
"多布施橋(1)","en","Tafusebashi(Tafuse Bridge)"
"多布施橋(1)","zh-CN","多布施桥"
"多布施橋(1)","zh-TW","多布施橋"
"多布施橋(1)","ko","다후세바시"
"多布施(1)","ja","多布施(1)"
"多布施(1)","ja-Hrkt","たふせ"
"多布施(1)","en","Tafuse"
"多布施(1)","zh-CN","多布施"
"多布施(1)","zh-TW","多布施"
"多布施(1)","ko","다후세"
"どんどんどんの森前(1)","ja","どんどんどんの森前(1)"
"どんどんどんの森前(1)","ja-Hrkt","どんどんどんのもりまえ"
"どんどんどんの森前(1)","en","Dondondonnomori-mae(Don-Don-Don no Mori )"
"どんどんどんの森前(1)","zh-CN","咚咚咚之森前"
"どんどんどんの森前(1)","zh-TW","咚咚咚之森前"
"どんどんどんの森前(1)","ko","돈돈돈노모리앞"
"どんどんどんの森東(1)","ja","どんどんどんの森東(1)"
"どんどんどんの森東(1)","ja-Hrkt","どんどんどんのもりひがし"
"どんどんどんの森東(1)","en","Dondondonnomori-higashi(Don-Don-Don no Mori East)"
"どんどんどんの森東(1)","zh-CN","咚咚咚之森东"
"どんどんどんの森東(1)","zh-TW","咚咚咚之森東"
"どんどんどんの森東(1)","ko","돈돈돈노모리동쪽"
"堀江通(4)","ja","堀江通(4)"
"堀江通(4)","ja-Hrkt","ほりえどおり"
"堀江通(4)","en","Horiedori(Horie Street)"
"堀江通(4)","zh-CN","堀江路"
"堀江通(4)","zh-TW","堀江路"
"堀江通(4)","ko","호리에도리"
"佐賀駅北口(3)","ja","佐賀駅北口(3)"
"佐賀駅北口(3)","ja-Hrkt","さがえききたぐち"
"佐賀駅北口(3)","en","Sagaekikitaguchi(Saga Station North Gate)"
"佐賀駅北口(3)","zh-CN","佐贺站北口"
"佐賀駅北口(3)","zh-TW","佐賀站北口"
"佐賀駅北口(3)","ko","사가역북쪽출구"
"県庁前(1)","ja","県庁前(1)"
"県庁前(1)","ja-Hrkt","けんちょうまえ"
"県庁前(1)","en","Prefectural Office "
"県庁前(1)","zh-CN","县政府前"
"県庁前(1)","zh-TW","縣政府前"
"県庁前(1)","ko","현청앞"
"中の小路(1)","ja","中の小路(1)"
"中の小路(1)","ja-Hrkt","なかのこうじ"
"中の小路(1)","en","Nakanokoji"
"中の小路(1)","zh-CN","中之小路"
"中の小路(1)","zh-TW","中之小路"
"中の小路(1)","ko","나카노코지"
"白山(1)","ja","白山(1)"
"白山(1)","ja-Hrkt","しらやま"
"白山(1)","en","Shirayama"
"白山(1)","zh-CN","白山"
"白山(1)","zh-TW","白山"
"白山(1)","ko","시라야마"
"唐人町(1)","ja","唐人町(1)"
"唐人町(1)","ja-Hrkt","とうじんまち"
"唐人町(1)","en","Tojimmachi(Tōjin machi)"
"唐人町(1)","zh-CN","唐人町"
"唐人町(1)","zh-TW","唐人町"
"唐人町(1)","ko","도진마치"
"駅南本町(1)","ja","駅南本町(1)"
"駅南本町(1)","ja-Hrkt","えきみなみほんまち"
"駅南本町(1)","en","Ekiminamihonmachi"
"駅南本町(1)","zh-CN","站南本町"
"駅南本町(1)","zh-TW","站南本町"
"駅南本町(1)","ko","에키미나미혼마치"
"市役所前(2)","ja","市役所前(2)"
"市役所前(2)","ja-Hrkt","しやくしょまえ"
"市役所前(2)","en","Shiyakusho-mae(City Hall )"
"市役所前(2)","zh-CN","市政厅前"
"市役所前(2)","zh-TW","市公所前"
"市役所前(2)","ko","시청앞"
"佐嘉神社前(2)","ja","佐嘉神社前(2)"
"佐嘉神社前(2)","ja-Hrkt","さがじんじゃまえ"
"佐嘉神社前(2)","en","Sagajinja-mae(Saga Shrine)"
"佐嘉神社前(2)","zh-CN","佐嘉神社前"
"佐嘉神社前(2)","zh-TW","佐嘉神社前"
"佐嘉神社前(2)","ko","사가신사앞"
"佐賀女子短大・高校前","ja","佐賀女子短大・高校前"
"佐賀女子短大・高校前","ja-Hrkt","さがじょしたんだい・こうこうまえ"
"佐賀女子短大・高校前","en","Sagajoshitandai・koko-mae(Saga Women's Junior College ・ High School)"
"佐賀女子短大・高校前","zh-CN","佐贺女子短大・女子高中前"
"佐賀女子短大・高校前","zh-TW","佐賀女子短大・女子高中前"
"佐賀女子短大・高校前","ko","사가여자단기대학·고교앞"
"旭学園通り南(1)","ja","旭学園通り南(1)"
"旭学園通り南(1)","ja-Hrkt","あさひがくえんどおりみなみ"
"旭学園通り南(1)","en","Asahigakuendoriminami(Asahi Gakuen Street South)"
"旭学園通り南(1)","zh-CN","旭学园路南"
"旭学園通り南(1)","zh-TW","旭學園路南"
"旭学園通り南(1)","ko","아사히가쿠엔도리미나미"
"佐賀大学西(1)","ja","佐賀大学西(1)"
"佐賀大学西(1)","ja-Hrkt","さがだいがくにし"
"佐賀大学西(1)","en","Sagadaigakunishi(Saga University West)"
"佐賀大学西(1)","zh-CN","佐贺大学西"
"佐賀大学西(1)","zh-TW","佐賀大學西"
"佐賀大学西(1)","ko","사가대학서쪽"
"佐賀大学前(1)","ja","佐賀大学前(1)"
"佐賀大学前(1)","ja-Hrkt","さがだいがくまえ"
"佐賀大学前(1)","en","Sagadaigakumae(Saga University )"
"佐賀大学前(1)","zh-CN","佐贺大学前"
"佐賀大学前(1)","zh-TW","佐賀大學前"
"佐賀大学前(1)","ko","사가대학앞"
"与賀町(1)","ja","与賀町(1)"
"与賀町(1)","ja-Hrkt","よかまち"
"与賀町(1)","en","Yokamachi"
"与賀町(1)","zh-CN","与贺町"
"与賀町(1)","zh-TW","與賀町"
"与賀町(1)","ko","요카마치"
"辻の堂(1)","ja","辻の堂(1)"
"辻の堂(1)","ja-Hrkt","つじのどう"
"辻の堂(1)","en","Tsujinodo"
"辻の堂(1)","zh-CN","辻之堂"
"辻の堂(1)","zh-TW","辻之堂"
"辻の堂(1)","ko","쓰지노도"
"県警本部前","ja","県警本部前"
"県警本部前","ja-Hrkt","けんけいほんぶまえ"
"県警本部前","en","Kenkeihombu-mae(Prefectural Police Headquarters)"
"県警本部前","zh-CN","县级警察局总部前"
"県警本部前","zh-TW","縣警察總部前"
"県警本部前","ko","현경본부앞"
"県庁前","ja","県庁前"
"県庁前","ja-Hrkt","けんちょうまえ"
"県庁前","en","Prefectural Office "
"県庁前","zh-CN","县政府前"
"県庁前","zh-TW","縣政府前"
"県庁前","ko","현청앞"
"辻の堂(2)","ja","辻の堂(2)"
"辻の堂(2)","ja-Hrkt","つじのどう"
"辻の堂(2)","en","Tsujinodo"
"辻の堂(2)","zh-CN","辻之堂"
"辻の堂(2)","zh-TW","辻之堂"
"辻の堂(2)","ko","쓰지노도"
"与賀町(2)","ja","与賀町(2)"
"与賀町(2)","ja-Hrkt","よかまち"
"与賀町(2)","en","Yokamachi"
"与賀町(2)","zh-CN","与贺町"
"与賀町(2)","zh-TW","與賀町"
"与賀町(2)","ko","요카마치"
"佐賀大学前(3)","ja","佐賀大学前(3)"
"佐賀大学前(3)","ja-Hrkt","さがだいがくまえ"
"佐賀大学前(3)","en","Sagadaigakumae(Saga University )"
"佐賀大学前(3)","zh-CN","佐贺大学前"
"佐賀大学前(3)","zh-TW","佐賀大學前"
"佐賀大学前(3)","ko","사가대학앞"
"佐賀大学西(2)","ja","佐賀大学西(2)"
"佐賀大学西(2)","ja-Hrkt","さがだいがくにし"
"佐賀大学西(2)","en","Sagadaigakunishi(Saga University West)"
"佐賀大学西(2)","zh-CN","佐贺大学西"
"佐賀大学西(2)","zh-TW","佐賀大學西"
"佐賀大学西(2)","ko","사가대학서쪽"
"旭学園通り南(2)","ja","旭学園通り南(2)"
"旭学園通り南(2)","ja-Hrkt","あさひがくえんどおりみなみ"
"旭学園通り南(2)","en","Asahigakuendoriminami(Asahi Gakuen Street South)"
"旭学園通り南(2)","zh-CN","旭学园路南"
"旭学園通り南(2)","zh-TW","旭學園路南"
"旭学園通り南(2)","ko","아사히가쿠엔도리미나미"
"サガテレビ前(1)","ja","サガテレビ前(1)"
"サガテレビ前(1)","ja-Hrkt","さがてれびまえ"
"サガテレビ前(1)","en","Sagaterebi-mae(Saga TV Station )"
"サガテレビ前(1)","zh-CN","佐贺电视台前"
"サガテレビ前(1)","zh-TW","佐賀電視台前"
"サガテレビ前(1)","ko","사가텔레비전앞"
"県庁舎(1)","ja","県庁舎(1)"
"県庁舎(1)","ja-Hrkt","けんちょうしゃ"
"県庁舎(1)","en","Kenchosha(Prefectural Office Building)"
"県庁舎(1)","zh-CN","县政府办公大楼"
"県庁舎(1)","zh-TW","縣政府辦公大樓"
"県庁舎(1)","ko","현청사"
"佐賀駅バスセンター 2番のりば","ja","佐賀駅バスセンター 2番のりば"
"佐賀駅バスセンター 2番のりば","ja-Hrkt","さがえきばすせんたー"
"佐賀駅バスセンター 2番のりば","en","Saga Station Bus Terminal Gate2"
"佐賀駅バスセンター 2番のりば","zh-CN","佐贺站巴士中心 第2站台"
"佐賀駅バスセンター 2番のりば","zh-TW","佐賀站巴士中心 第2站台"
